activity_id,arm,frames,MPJPE_mm,PA_MPJPE_mm
1,detector_aware_observed,461,94.4122314453125,68.39550018310547
2,detector_aware_observed,275,124.38934326171875,82.72875213623047
3,detector_aware_observed,529,138.38482666015625,82.84739685058594
4,detector_aware_observed,418,112.29840850830078,67.21147918701172
5,detector_aware_observed,285,190.99192810058594,123.58586883544922
6,detector_aware_observed,239,120.74797821044922,73.7359390258789
7,detector_aware_observed,668,121.5664291381836,87.22044372558594
1,detector_conditioned_virtual_view_no_confidence,461,95.8224105834961,67.16232299804688
2,detector_conditioned_virtual_view_no_confidence,275,125.86299133300781,83.14400482177734
3,detector_conditioned_virtual_view_no_confidence,529,141.3214874267578,83.3608627319336
4,detector_conditioned_virtual_view_no_confidence,418,109.39784240722656,67.64066314697266
5,detector_conditioned_virtual_view_no_confidence,285,193.32318115234375,125.27069091796875
6,detector_conditioned_virtual_view_no_confidence,239,121.7370376586914,73.10344696044922
7,detector_conditioned_virtual_view_no_confidence,668,121.96180725097656,85.84501647949219
1,bounded_reliability_observed_modulation,461,93.33209991455078,64.8511962890625
2,bounded_reliability_observed_modulation,275,123.94023895263672,82.0570297241211
3,bounded_reliability_observed_modulation,529,133.92529296875,79.76162719726562
4,bounded_reliability_observed_modulation,418,114.98798370361328,66.68243408203125
5,bounded_reliability_observed_modulation,285,190.04258728027344,121.739013671875
6,bounded_reliability_observed_modulation,239,118.98313903808594,71.63783264160156
7,bounded_reliability_observed_modulation,668,120.43250274658203,85.35734558105469
1,bounded_reliability_dual_modulation,461,93.99620056152344,64.53226470947266
2,bounded_reliability_dual_modulation,275,123.01922607421875,81.26802062988281
3,bounded_reliability_dual_modulation,529,134.38040161132812,78.96943664550781
4,bounded_reliability_dual_modulation,418,112.87750244140625,66.6510238647461
5,bounded_reliability_dual_modulation,285,187.83712768554688,121.8515625
6,bounded_reliability_dual_modulation,239,120.57539367675781,71.15174865722656
7,bounded_reliability_dual_modulation,668,121.34083557128906,84.83208465576172
