subject,split,seed,detector,arm,valid_frames,detector_success_rate,MPJPE_mm,PA_MPJPE_mm,3DPCK_at_150mm_pct,AUC_0_to_150mm_pct
TS1,split_a,42,rtmpose_performance,detector_aware_observed,603,1.0,92.83554077148438,61.591251373291016,83.77161809997631,45.194534241236205
TS2,split_a,42,rtmpose_performance,detector_aware_observed,540,1.0,121.54466247558594,82.65546417236328,71.9047619047619,34.14703874381293
TS3,split_a,42,rtmpose_performance,detector_aware_observed,506,1.0,119.1532974243164,74.49232482910156,71.99322416713721,33.98981803610135
TS4,split_a,42,rtmpose_performance,detector_aware_observed,558,1.0,140.5236053466797,87.99832153320312,65.51459293394777,30.01048841319392
TS5,split_a,42,rtmpose_performance,detector_aware_observed,276,1.0,121.97810363769531,74.28362274169922,72.04968944099379,35.74350497562279
TS6,split_a,42,rtmpose_performance,detector_aware_observed,392,1.0,133.52374267578125,114.796875,73.26895043731778,37.05856766669802
TS1,split_a,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,603,1.0,99.90261840820312,63.61393737792969,81.79341388296612,41.59234549220106
TS2,split_a,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,540,1.0,127.21839904785156,83.13291931152344,69.82804232804233,31.415770609319
TS3,split_a,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,506,1.0,125.40694427490234,77.50418090820312,69.81931112365895,31.838673248210412
TS4,split_a,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,558,1.0,144.53012084960938,89.2850570678711,62.762416794674856,28.013147680161214
TS5,split_a,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,276,1.0,117.76758575439453,77.74436950683594,76.24223602484473,35.837841447939624
TS6,split_a,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,392,1.0,134.48724365234375,109.4440689086914,70.49927113702624,34.92958243205116
TS1,split_a,42,rtmpose_performance,bounded_reliability_observed_modulation,603,1.0,94.69461059570312,61.95661544799805,83.3807154702677,44.680590901101255
TS2,split_a,42,rtmpose_performance,bounded_reliability_observed_modulation,540,1.0,118.3954849243164,75.35443878173828,73.3862433862434,34.706434545144226
TS3,split_a,42,rtmpose_performance,bounded_reliability_observed_modulation,506,1.0,119.1854476928711,74.17655181884766,72.68492377188029,34.300377042312526
TS4,split_a,42,rtmpose_performance,bounded_reliability_observed_modulation,558,1.0,140.813720703125,86.40230560302734,64.0937019969278,29.601275126769412
TS5,split_a,42,rtmpose_performance,bounded_reliability_observed_modulation,276,1.0,129.81002807617188,73.69155883789062,71.48033126293996,34.82435049756227
TS6,split_a,42,rtmpose_performance,bounded_reliability_observed_modulation,392,1.0,125.65784454345703,104.88246154785156,74.41690962099126,39.112903225806456
TS1,split_a,42,rtmpose_performance,bounded_reliability_dual_modulation,603,1.0,96.53746032714844,58.38138198852539,83.42809760720209,43.12844380249291
TS2,split_a,42,rtmpose_performance,bounded_reliability_dual_modulation,540,1.0,122.15472412109375,76.0439682006836,71.33597883597884,32.802952722307566
TS3,split_a,42,rtmpose_performance,bounded_reliability_dual_modulation,506,1.0,116.92749786376953,71.3880386352539,73.33427442123094,35.01120198174896
TS4,split_a,42,rtmpose_performance,bounded_reliability_dual_modulation,558,1.0,139.44198608398438,84.48497772216797,64.26011264720943,29.763143550864672
TS5,split_a,42,rtmpose_performance,bounded_reliability_dual_modulation,276,1.0,115.80607604980469,78.32516479492188,76.13871635610766,36.7394643691979
TS6,split_a,42,rtmpose_performance,bounded_reliability_dual_modulation,392,1.0,128.53245544433594,104.6045150756836,73.30539358600583,37.524099501551774
TS1,split_a,42,yolo11l_pose,detector_aware_observed,603,1.0,103.07392883300781,63.76832962036133,80.91684434968018,41.24462174534394
TS2,split_a,42,yolo11l_pose,detector_aware_observed,540,1.0,131.1937713623047,87.35343933105469,68.90211640211639,32.56997781191329
TS3,split_a,42,yolo11l_pose,detector_aware_observed,506,1.0,130.93772888183594,80.01470947265625,68.33709768492378,31.772189941895412
