split,seed,arm,train_detector,eval_detector,partition,relation,mpjpe_mm,pa_mpjpe_mm,samples,best_epoch,epochs_completed
split_a,123,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,val,matched,119.87497507477568,79.53408602318046,20060,40,48
split_a,123,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,test,matched,129.5560119622699,85.31506113025017,19666,40,48
split_a,123,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,val,cross,161.52367428963112,106.7126409833001,20060,40,48
split_a,123,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,test,cross,168.06624853808603,112.91713569739652,19666,40,48
split_a,123,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,val,cross,179.53294647308076,119.34755966475574,20060,20,28
split_a,123,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,test,cross,185.44386488736907,123.11217885563917,19666,20,28
split_a,123,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,val,matched,133.62617693793618,90.31819852941176,20060,20,28
split_a,123,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,test,matched,140.3985670065087,95.26438714024204,19666,20,28
split_a,123,detector_aware_observed,rtmpose_performance,rtmpose_performance,val,matched,124.9525571722333,82.29124890952144,20060,45,50
split_a,123,detector_aware_observed,rtmpose_performance,rtmpose_performance,test,matched,131.31279556086648,87.56709390572561,19666,45,50
split_a,123,detector_aware_observed,rtmpose_performance,yolo11l_pose,val,cross,139.22656717347957,91.06597005857428,20060,45,50
split_a,123,detector_aware_observed,rtmpose_performance,yolo11l_pose,test,cross,145.01695661293604,96.18086299005898,19666,45,50
split_a,123,detector_aware_observed,yolo11l_pose,rtmpose_performance,val,cross,139.38044460368894,89.43951193295115,20060,23,31
split_a,123,detector_aware_observed,yolo11l_pose,rtmpose_performance,test,cross,146.80905258440964,96.89845696570222,19666,23,31
split_a,123,detector_aware_observed,yolo11l_pose,yolo11l_pose,val,matched,137.71894005483549,91.70033571161515,20060,23,31
split_a,123,detector_aware_observed,yolo11l_pose,yolo11l_pose,test,matched,144.4800416963287,97.33851650691548,19666,23,31
split_a,123,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,val,matched,123.57852536141576,81.16833639705882,20060,45,50
split_a,123,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,test,matched,129.77579960337638,86.24109106452761,19666,45,50
split_a,123,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,val,cross,138.40146903040878,90.1313029661017,20060,45,50
split_a,123,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,test,cross,143.4409561552934,94.15529737236855,19666,45,50
split_a,123,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,val,cross,136.1884004237288,87.37369064680958,20060,33,41
split_a,123,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,test,cross,144.2113641564121,94.85608688536053,19666,33,41
split_a,123,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,val,matched,134.86553308823528,88.88784427966101,20060,33,41
split_a,123,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,test,matched,142.05790132716362,94.44982377580595,19666,33,41
split_a,2026,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,val,matched,120.24308870264207,79.11050598205384,20060,38,46
split_a,2026,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,test,matched,127.47842802933998,85.6791774191498,19666,38,46
split_a,2026,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,val,cross,158.0881340353938,102.83208966849452,20060,38,46
split_a,2026,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,test,cross,164.30642987897895,110.60077910480017,19666,38,46
split_a,2026,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,val,cross,173.71416999002992,114.70355651794617,20060,26,34
split_a,2026,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,test,cross,178.57317991711582,120.17322965397132,19666,26,34
split_a,2026,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,val,matched,132.52613643444667,88.72987288135593,20060,26,34
split_a,2026,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,test,matched,138.02234185904607,93.53457625152548,19666,26,34
split_a,2026,detector_aware_observed,rtmpose_performance,rtmpose_performance,val,matched,123.93565709122632,81.88674756979063,20060,48,50
split_a,2026,detector_aware_observed,rtmpose_performance,rtmpose_performance,test,matched,131.96643159513883,88.29667279505237,19666,48,50
split_a,2026,detector_aware_observed,rtmpose_performance,yolo11l_pose,val,cross,138.51440366400797,90.91062593469591,20060,48,50
split_a,2026,detector_aware_observed,rtmpose_performance,yolo11l_pose,test,cross,143.3767606529035,95.51548595926981,19666,48,50
split_a,2026,detector_aware_observed,yolo11l_pose,rtmpose_performance,val,cross,138.8225292871386,89.36554087736789,20060,31,39
split_a,2026,detector_aware_observed,yolo11l_pose,rtmpose_performance,test,cross,148.2128046183769,96.26482650894945,19666,31,39
split_a,2026,detector_aware_observed,yolo11l_pose,yolo11l_pose,val,matched,137.0758716039382,91.00372086864407,20060,31,39
split_a,2026,detector_aware_observed,yolo11l_pose,yolo11l_pose,test,matched,144.222585140598,96.0580332172277,19666,31,39
split_a,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,val,matched,124.3125,81.33129050348953,20060,25,33
split_a,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,test,matched,130.5337908700295,87.84709333367233,19666,25,33
split_a,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,val,cross,138.0903336864407,90.47659833000996,20060,25,33
split_a,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,test,cross,142.67923382996034,95.55001096435473,19666,25,33
split_a,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,val,cross,136.75548354935194,88.62604685942173,20060,25,33
split_a,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,test,cross,144.65173475160174,95.85732395060002,19666,25,33
split_a,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,val,matched,135.03269410518445,89.9873512275673,20060,25,33
