logical_id,split,seed,detector,arm_short,arm,destination_path,source_path,sha256,size_bytes,selected_epoch,validation_selection_score
split_a__seed42__rtmpose_performance__O,split_a,42,rtmpose_performance,O,detector_aware_observed,checkpoints/split_a/seed_42/rtmpose_performance/detector_aware_observed/best.pt,,,,,
split_a__seed42__rtmpose_performance__OV,split_a,42,rtmpose_performance,OV,detector_conditioned_virtual_view_no_confidence,checkpoints/split_a/seed_42/rtmpose_performance/detector_conditioned_virtual_view_no_confidence/best.pt,,,,,
split_a__seed42__rtmpose_performance__OR,split_a,42,rtmpose_performance,OR,bounded_reliability_observed_modulation,checkpoints/split_a/seed_42/rtmpose_performance/bounded_reliability_observed_modulation/best.pt,,,,,
split_a__seed42__rtmpose_performance__OVR,split_a,42,rtmpose_performance,OVR,bounded_reliability_dual_modulation,checkpoints/split_a/seed_42/rtmpose_performance/bounded_reliability_dual_modulation/best.pt,,,,,
split_a__seed42__yolo11l_pose__O,split_a,42,yolo11l_pose,O,detector_aware_observed,checkpoints/split_a/seed_42/yolo11l_pose/detector_aware_observed/best.pt,,,,,
split_a__seed42__yolo11l_pose__OV,split_a,42,yolo11l_pose,OV,detector_conditioned_virtual_view_no_confidence,checkpoints/split_a/seed_42/yolo11l_pose/detector_conditioned_virtual_view_no_confidence/best.pt,,,,,
split_a__seed42__yolo11l_pose__OR,split_a,42,yolo11l_pose,OR,bounded_reliability_observed_modulation,checkpoints/split_a/seed_42/yolo11l_pose/bounded_reliability_observed_modulation/best.pt,,,,,
split_a__seed42__yolo11l_pose__OVR,split_a,42,yolo11l_pose,OVR,bounded_reliability_dual_modulation,checkpoints/split_a/seed_42/yolo11l_pose/bounded_reliability_dual_modulation/best.pt,,,,,
split_a__seed123__rtmpose_performance__O,split_a,123,rtmpose_performance,O,detector_aware_observed,checkpoints/split_a/seed_123/rtmpose_performance/detector_aware_observed/best.pt,,,,,
split_a__seed123__rtmpose_performance__OV,split_a,123,rtmpose_performance,OV,detector_conditioned_virtual_view_no_confidence,checkpoints/split_a/seed_123/rtmpose_performance/detector_conditioned_virtual_view_no_confidence/best.pt,,,,,
split_a__seed123__rtmpose_performance__OR,split_a,123,rtmpose_performance,OR,bounded_reliability_observed_modulation,checkpoints/split_a/seed_123/rtmpose_performance/bounded_reliability_observed_modulation/best.pt,,,,,
split_a__seed123__rtmpose_performance__OVR,split_a,123,rtmpose_performance,OVR,bounded_reliability_dual_modulation,checkpoints/split_a/seed_123/rtmpose_performance/bounded_reliability_dual_modulation/best.pt,,,,,
split_a__seed123__yolo11l_pose__O,split_a,123,yolo11l_pose,O,detector_aware_observed,checkpoints/split_a/seed_123/yolo11l_pose/detector_aware_observed/best.pt,,,,,
split_a__seed123__yolo11l_pose__OV,split_a,123,yolo11l_pose,OV,detector_conditioned_virtual_view_no_confidence,checkpoints/split_a/seed_123/yolo11l_pose/detector_conditioned_virtual_view_no_confidence/best.pt,,,,,
split_a__seed123__yolo11l_pose__OR,split_a,123,yolo11l_pose,OR,bounded_reliability_observed_modulation,checkpoints/split_a/seed_123/yolo11l_pose/bounded_reliability_observed_modulation/best.pt,,,,,
split_a__seed123__yolo11l_pose__OVR,split_a,123,yolo11l_pose,OVR,bounded_reliability_dual_modulation,checkpoints/split_a/seed_123/yolo11l_pose/bounded_reliability_dual_modulation/best.pt,,,,,
split_a__seed2026__rtmpose_performance__O,split_a,2026,rtmpose_performance,O,detector_aware_observed,checkpoints/split_a/seed_2026/rtmpose_performance/detector_aware_observed/best.pt,,,,,
split_a__seed2026__rtmpose_performance__OV,split_a,2026,rtmpose_performance,OV,detector_conditioned_virtual_view_no_confidence,checkpoints/split_a/seed_2026/rtmpose_performance/detector_conditioned_virtual_view_no_confidence/best.pt,,,,,
split_a__seed2026__rtmpose_performance__OR,split_a,2026,rtmpose_performance,OR,bounded_reliability_observed_modulation,checkpoints/split_a/seed_2026/rtmpose_performance/bounded_reliability_observed_modulation/best.pt,,,,,
split_a__seed2026__rtmpose_performance__OVR,split_a,2026,rtmpose_performance,OVR,bounded_reliability_dual_modulation,checkpoints/split_a/seed_2026/rtmpose_performance/bounded_reliability_dual_modulation/best.pt,,,,,
