subject,sequence,camera_id,media_kind,media_frames,sampling_step,selected_frames,selected_offset,matched_frames,alignment_fraction,width,height,reported_fps,decode_probe_ok
S1,Seq1,0,video,6416,5,1284,0,1284,1.0,2048,2048,25.0,True
S1,Seq1,1,video,6416,5,1284,0,1284,1.0,2048,2048,25.0,True
S1,Seq1,2,video,6416,5,1284,0,1284,1.0,2048,2048,25.0,True
S1,Seq1,4,video,6416,5,1284,0,1284,1.0,2048,2048,25.0,True
S1,Seq1,5,video,6416,5,1284,0,1284,1.0,2048,2048,25.0,True
S1,Seq1,6,video,6416,5,1284,0,1284,1.0,2048,2048,25.0,True
S1,Seq1,7,video,6416,5,1284,0,1284,1.0,2048,2048,25.0,True
S1,Seq1,8,video,6416,5,1284,0,1284,1.0,2048,2048,25.0,True
S1,Seq2,0,video,12430,10,1243,0,1243,1.0,2048,2048,50.0,True
S1,Seq2,1,video,12430,10,1243,0,1243,1.0,2048,2048,50.0,True
S1,Seq2,2,video,12430,10,1243,0,1243,1.0,2048,2048,50.0,True
S1,Seq2,4,video,12430,10,1243,0,1243,1.0,2048,2048,50.0,True
S1,Seq2,5,video,12430,10,1243,0,1243,1.0,2048,2048,50.0,True
S1,Seq2,6,video,12430,10,1243,0,1243,1.0,2048,2048,50.0,True
S1,Seq2,7,video,12430,10,1243,0,1243,1.0,2048,2048,50.0,True
S1,Seq2,8,video,12430,10,1243,0,1243,1.0,2048,2048,50.0,True
S2,Seq1,0,video,6502,5,1301,0,1301,1.0,2048,2048,25.0,True
S2,Seq1,1,video,6502,5,1301,0,1301,1.0,2048,2048,25.0,True
S2,Seq1,2,video,6502,5,1301,0,1301,1.0,2048,2048,25.0,True
S2,Seq1,4,video,6502,5,1301,0,1301,1.0,2048,2048,25.0,True
S2,Seq1,5,video,6502,5,1301,0,1301,1.0,2048,2048,25.0,True
S2,Seq1,6,video,6502,5,1301,0,1301,1.0,2048,2048,25.0,True
S2,Seq1,7,video,6502,5,1301,0,1301,1.0,2048,2048,25.0,True
S2,Seq1,8,video,6502,5,1301,0,1301,1.0,2048,2048,25.0,True
S2,Seq2,0,video,6081,5,1217,0,1217,1.0,2048,2048,25.0,True
S2,Seq2,1,video,6081,5,1217,0,1217,1.0,2048,2048,25.0,True
S2,Seq2,2,video,6081,5,1217,0,1217,1.0,2048,2048,25.0,True
S2,Seq2,4,video,6081,5,1217,0,1217,1.0,2048,2048,25.0,True
S2,Seq2,5,video,6081,5,1217,0,1217,1.0,2048,2048,25.0,True
S2,Seq2,6,video,6081,5,1217,0,1217,1.0,2048,2048,25.0,True
S2,Seq2,7,video,6081,5,1217,0,1217,1.0,2048,2048,25.0,True
S2,Seq2,8,video,6081,5,1217,0,1217,1.0,2048,2048,25.0,True
S3,Seq1,0,video,12488,10,1249,0,1249,1.0,2048,2048,50.0,True
S3,Seq1,1,video,12488,10,1249,0,1249,1.0,2048,2048,50.0,True
S3,Seq1,2,video,12488,10,1249,0,1249,1.0,2048,2048,50.0,True
S3,Seq1,4,video,12488,10,1249,0,1249,1.0,2048,2048,50.0,True
S3,Seq1,5,video,12488,10,1249,0,1249,1.0,2048,2048,50.0,True
S3,Seq1,6,video,12488,10,1249,0,1249,1.0,2048,2048,50.0,True
S3,Seq1,7,video,12488,10,1249,0,1249,1.0,2048,2048,50.0,True
S3,Seq1,8,video,12488,10,1249,0,1249,1.0,2048,2048,50.0,True
S3,Seq2,0,video,12283,10,1229,0,1229,1.0,2048,2048,50.0,True
S3,Seq2,1,video,12283,10,1229,0,1229,1.0,2048,2048,50.0,True
S3,Seq2,2,video,12283,10,1229,0,1229,1.0,2048,2048,50.0,True
S3,Seq2,4,video,12283,10,1229,0,1229,1.0,2048,2048,50.0,True
S3,Seq2,5,video,12283,10,1229,0,1229,1.0,2048,2048,50.0,True
S3,Seq2,6,video,12283,10,1229,0,1229,1.0,2048,2048,50.0,True
S3,Seq2,7,video,12283,10,1229,0,1229,1.0,2048,2048,50.0,True
S3,Seq2,8,video,12283,10,1229,0,1229,1.0,2048,2048,50.0,True
S4,Seq1,0,video,6171,5,1235,0,1235,1.0,2048,2048,25.0,True
S4,Seq1,1,video,6171,5,1235,0,1235,1.0,2048,2048,25.0,True
S4,Seq1,2,video,6171,5,1235,0,1235,1.0,2048,2048,25.0,True
S4,Seq1,4,video,6171,5,1235,0,1235,1.0,2048,2048,25.0,True
S4,Seq1,5,video,6171,5,1235,0,1235,1.0,2048,2048,25.0,True
S4,Seq1,6,video,6171,5,1235,0,1235,1.0,2048,2048,25.0,True
S4,Seq1,7,video,6171,5,1235,0,1235,1.0,2048,2048,25.0,True
