epoch,train_loss,train_samples,train_batches,val_mpjpe_mm,val_pa_mpjpe_mm,val_selection_score,improved
1,0.026482646385657376,118784,58,184.78896591475572,118.06887384720838,147.7085816902504,True
2,0.015634189086869872,118784,58,163.7650065428714,106.25501230682951,131.9122920187532,True
3,0.013871489718941778,118784,58,153.58626853813558,101.9378544055334,125.12495626744338,True
4,0.012989772130446187,118784,58,150.13368799850448,99.45648445289133,122.19561696836142,True
5,0.012289753617269212,118784,58,144.46978517572282,97.01039303963111,118.38526361945537,True
6,0.011774496833697475,118784,58,145.30604981929213,97.23194401171486,118.8629029621642,False
7,0.01149492897093296,118784,58,142.35243098828514,94.78908353065803,116.16133811101176,True
8,0.011099184220977899,118784,58,139.61109717721834,93.82842566051845,114.45300106539823,True
9,0.010788694987523145,118784,58,138.48240668619144,93.71713920737787,113.92179328461486,True
10,0.010592820219181735,118784,58,140.47658508848454,94.11273990528414,114.9810258921665,False
11,0.010464604799475136,118784,58,137.86167902542374,92.75808823529412,113.08309240247215,True
12,0.010198698973218942,118784,58,139.13416001994017,93.69677452018944,114.17715191510204,False
13,0.010097664475826353,118784,58,138.39463796111664,92.34315179461615,113.04776451042426,True
14,0.00991473155866923,118784,58,136.39597068170488,92.42427716849451,112.27777606878283,True
15,0.009831791470662272,118784,58,137.53662138584247,91.97559119516451,112.47227241835371,False
16,0.00965550582020961,118784,58,136.78264113908276,91.99784241026919,112.17712718720219,True
17,0.009596395097544482,118784,58,135.58867927467597,90.96760733424726,111.05934330450506,True
18,0.009432134668117967,118784,58,136.70279084621137,91.71714232303091,111.97316340979876,False
19,0.009309209899270329,118784,58,137.62632025797606,92.7350074775673,112.97246495599484,False
20,0.00921606018753915,118784,58,133.62617693793618,90.31819852941176,109.85843425703291,True
21,0.009281953684343347,118784,58,137.4834488721336,93.18421220712861,113.1869554086018,False
22,0.009046851833961133,118784,58,134.5828771498006,91.28933901420737,110.84214856107567,False
23,0.008966863492567992,118784,58,135.93043136216352,91.14687032652044,111.30873011940756,False
24,0.008831659556719763,118784,58,134.29162979810567,90.7175006231306,110.37482054296113,False
25,0.008875782922681036,118784,58,135.93512197781655,90.34048557452643,110.81716891397481,False
26,0.008776533931236842,118784,58,134.66787216475572,90.73498644690928,110.53998170663509,False
27,0.00865424053486565,118784,58,134.44846943544366,90.21804041001994,110.13481487972905,False
28,0.00860910573653106,118784,58,135.73993877741773,91.39878100074776,111.38431189971105,False
