epoch,train_loss,train_samples,train_batches,val_mpjpe_mm,val_pa_mpjpe_mm,val_selection_score,improved
1,0.032882792008077276,118784,58,198.1624869698973,132.06406202328893,161.7718855978433,True
2,0.016720612854536236,118784,58,171.45475535187634,113.38389701769552,139.42814753130492,True
3,0.013966739209818429,118784,58,161.37491578104343,107.06860110724092,131.44651568784596,True
4,0.01268988171720813,118784,58,155.46953895682904,103.28255221575307,126.71736572099245,True
5,0.011948904006517139,118784,58,152.86360819434557,101.86352556442591,124.78471886082488,True
6,0.01131766209186151,118784,58,148.47096193938776,99.55116222160073,121.57490208601897,True
7,0.010809022451526132,118784,58,145.87263392403133,98.12699662488559,119.64131166418477,True
8,0.01042625031851489,118784,58,145.87585966897183,97.37737799374555,119.18476717747134,True
9,0.010135390940282879,118784,58,143.1288899623716,95.18323224410149,116.71962291803749,True
10,0.009917473195698755,118784,58,141.62985609681684,94.4720794295993,115.67223960303181,True
11,0.009627322859034455,118784,58,140.2338347274484,94.18204404174718,114.92392787598081,True
12,0.009441035655166569,118784,58,138.78318226889047,92.72755723710974,113.44172723203211,True
13,0.0092371907406326,118784,58,138.85912711024102,92.49007725897488,113.32736383830697,True
14,0.009066632740071108,118784,58,137.94062404657785,91.80230275284755,112.53118203698325,True
15,0.008905122120832575,118784,58,138.85620963846233,92.44615468956574,113.29926140908448,False
16,0.008836767058177241,118784,58,134.2753085909692,89.75706009102004,109.78231616221203,True
17,0.008653545286506414,118784,58,135.88826369114207,90.18238091757348,110.70107117106971,False
18,0.008550784117060489,118784,58,134.84895171234618,90.09871574036409,110.22575637398349,False
19,0.008427726442058539,118784,58,136.4357965524255,89.83474850312723,110.70987069864628,False
20,0.008347287244195568,118784,58,134.17036462041085,89.18115616737008,109.38678274931503,True
21,0.008275092587453025,118784,58,132.21991714761518,88.4553973227906,108.14603693746135,True
22,0.00817277626905205,118784,58,133.65245061273262,89.2206198991915,109.19960849157877,False
23,0.008099292517350665,118784,58,133.97367839799654,88.74932187849588,109.04161181581041,False
24,0.007997342425494873,118784,58,131.74983394564222,87.75412672887217,107.52484189513487,True
25,0.007917266058061144,118784,58,131.49390365986983,87.68316669632868,107.37691499647097,True
26,0.00786395945811066,118784,58,133.22276549628802,87.82409480512051,108.16731847996573,False
27,0.007834712902469367,118784,58,131.5767719350656,87.65681649166073,107.39460392439251,False
28,0.007763918641761973,118784,58,132.57857867003966,87.7248248881318,107.84448339042028,False
29,0.007696004889520078,118784,58,130.82666467507374,87.1035960699939,106.74958058485365,True
30,0.007596546302324739,118784,58,129.84627656869725,87.09177721066816,106.34163338295957,True
31,0.007531543061586803,118784,58,130.73858753686565,86.34760460630021,106.24953582684229,True
32,0.0074872408736625625,118784,58,131.39535556290045,86.79546552425506,106.79195219587926,False
33,0.00747068708056006,118784,58,131.30493459524052,87.03123808222313,106.90009833545109,False
34,0.007400133101076916,118784,58,130.09016989982712,86.05705993211635,105.80726604372981,True
35,0.007348305280802065,118784,58,130.65101571239703,86.41105485037629,106.25296271154662,False
36,0.007303242908854936,118784,58,130.06197323426218,85.96017357050239,105.73622744423604,True
37,0.00730161315054986,118784,58,130.90672830011187,87.0207532193888,106.73144849650272,False
38,0.007205244988716882,118784,58,129.93848917548053,86.4949834104546,106.01427953635643,False
39,0.007187047106181753,118784,58,131.87687506356147,86.70003630949354,106.92862038010836,False
40,0.0072007986620582385,118784,58,129.58256238558934,85.48159339087766,105.24696626693326,True
41,0.007095554859602246,118784,58,130.64912555298486,86.55925915920879,106.34327208462614,False
42,0.007045876379285393,118784,58,129.68525151276313,87.01751992652294,106.23035798531419,False
43,0.007058425621803978,118784,58,130.6663864664904,85.91662323299094,105.95477665144617,False
44,0.0069715104322752046,118784,58,131.0813507449405,86.83394723126207,106.68791446826917,False
45,0.006964248797759928,118784,58,129.53907521229533,86.20798030229838,105.67545620568431,False
46,0.0068981720552105325,118784,58,129.18063615503917,86.13451555031527,105.48417660339318,False
47,0.006909111892033754,118784,58,129.462478865809,84.92441030840028,104.85477897903635,True
48,0.00684278994670202,118784,58,129.16439063612327,85.31612578498424,104.97526088775552,False
49,0.006824222489677626,118784,58,129.5329153106885,85.93553674488966,105.50583208218565,False
50,0.006831963104998757,118784,58,129.21839485024915,85.48695241787857,105.10226815857922,False
