epoch,train_loss,train_samples,train_batches,val_mpjpe_mm,val_pa_mpjpe_mm,val_selection_score,improved
1,0.028952748739513857,118784,58,160.68876489607683,108.4604102614595,132.01654958767747,True
2,0.015094269805684173,118784,58,141.9888724082732,95.19750562176034,116.26257557492006,True
3,0.012790934118474352,118784,58,134.48739709320054,90.86922657917471,110.54757237725974,True
4,0.011641668653565234,118784,58,128.8514942130806,88.32322263441407,106.67979757273086,True
5,0.011017504549617398,118784,58,124.69547210082325,85.50295698241692,103.25614551656894,True
6,0.010425797920545628,118784,58,126.60571053333672,85.35048658400244,103.95123375089712,False
7,0.01006456869172639,118784,58,125.08546981400549,84.34995855142799,102.71783776052366,True
8,0.00973890935359844,118784,58,123.51900679057832,84.53985296079378,102.1874682724784,True
9,0.0094653710819267,118784,58,122.30495747154183,83.32309717705051,100.94963029469851,True
10,0.00929786446343722,118784,58,120.1727706702917,83.02486120286615,99.88657369869503,True
11,0.009067695652102602,118784,58,118.24584323228987,81.33082868558796,98.06646939045098,True
12,0.008852228586529863,118784,58,120.48160143942474,81.67723353808822,99.19981803315346,False
13,0.008630955591797829,118784,58,117.4243420634719,80.6935346579937,97.34159037118141,True
14,0.008560111055728691,118784,58,119.78660417090151,82.13585365001525,99.1905992995983,False
15,0.008374643215010392,118784,58,115.55479628265067,79.85583678473422,96.06104804571187,True
16,0.008236803981507647,118784,58,117.66912923061287,80.10754713385506,97.0885436910092,False
17,0.008156110179321519,118784,58,115.92708306865535,79.48537468873869,95.99222694720967,True
18,0.00804196498838478,118784,58,118.20728811998171,79.27735288139039,96.80475656412744,False
19,0.007940250135765508,118784,58,119.02203523605041,78.97070372052546,96.94974925620014,False
20,0.007817552256365788,118784,58,114.32768748729546,78.60321369359183,94.7972765993732,True
21,0.007763319889661567,118784,58,115.55892208303689,78.60854444049193,95.30959375666097,False
22,0.007650583219746578,118784,58,117.60317280084358,80.27855822492123,97.16487613910694,False
23,0.007576992165233041,118784,58,116.98363496036183,78.8539954200122,96.04492186149537,False
24,0.007535694375762652,118784,58,113.35275672705559,77.98033495528001,94.01747676724878,True
25,0.00743859637817689,118784,58,114.97789091879255,78.1138589096961,94.77007306615835,False
26,0.007393274215403302,118784,58,119.30950808008944,78.6898289015652,96.89398731166011,False
27,0.0073115315272248,118784,58,115.95923032701494,78.19830600797846,95.22507746156771,False
28,0.007241624832988299,118784,58,113.88504532345767,77.26153572517532,93.80263054851679,True
29,0.007205133551153643,118784,58,114.26910525078767,77.62122198648237,94.17912499523506,False
30,0.007147027878090739,118784,58,114.08732150116882,77.40226434660535,93.97136275179594,False
31,0.007090144654222089,118784,58,114.1414150637768,77.20965632622726,93.8766181200807,False
32,0.0070283489767462015,118784,58,113.73473231527595,76.69068407612562,93.39376009388177,True
33,0.006983163589932795,118784,58,114.05030840278484,77.78090141909748,94.18564537494379,False
34,0.00694432832975069,118784,58,112.17716326608395,77.0134981800742,92.94705890472513,True
35,0.006896515433066364,118784,58,113.45746915972151,76.22378179311922,92.99546963175231,False
36,0.006843204136359794,118784,58,113.37908054045127,77.88854304299217,93.97303546682853,False
37,0.00681490797934861,118784,58,115.73056760722635,77.60037343416506,94.76674133929399,False
38,0.00682911386006865,118784,58,112.92086498882,77.32619986469662,93.44378724677162,False
39,0.006737040925835227,118784,58,112.37954743241183,77.19722453374327,93.14176912717703,False
40,0.006691808579489589,118784,58,114.95565161601789,76.8747490852729,94.00631294713894,False
41,0.006658906598800215,118784,58,114.83472024595996,78.38079525675882,94.87273947750093,False
42,0.006614515967345957,118784,58,113.24270044592946,76.18059111063116,92.88108450559264,True
43,0.006577228790084864,118784,58,114.48165543373311,76.33389286258766,93.48171169063102,False
44,0.006541495781456088,118784,58,114.83472024595996,77.32141382508385,94.22941645593272,False
45,0.006513132280188388,118784,58,114.02194868635024,76.72557789790629,93.53288141613963,False
46,0.006501497219091859,118784,58,113.87037713436325,77.43461289257039,93.90158983388096,False
47,0.006457018946971873,118784,58,111.38546616144933,75.70272123373819,91.82691813575242,True
48,0.006404332993230943,118784,58,113.56290972151642,76.20803173277264,93.02905904997276,False
49,0.006395307658561345,118784,58,112.62555185359284,76.82726466421893,93.01996065474168,False
50,0.006399060768107402,118784,58,114.15019866729342,76.50302884248907,93.44964387850713,False
